Timestamp,Your Zodiac,Your Ex/Partner's Zodiac,Age Range,Ex/Partner's Age Range,Your Gender?,Your ex/partner's Gender?,"On a scale from 1-10, how happy were/are you in your relationship?","On a scale from 1-10, how compatible did/do you feel you both are?",Income,Are you and your ex/partner the same ethnicity?,Your highest level of education? (Or in progress),Your ex/partner's highest level of education? (Or in progress),Did/do you and your partner generally hold the same political views?,Did/do you and your partner hold the same religious views?,Preferences (select for you and your ex/partner if yes) [Smoke?],Preferences (select for you and your ex/partner if yes) [Drink?],Preferences (select for you and your ex/partner if yes) [Drug use?],Preferences (select for you and your ex/partner if yes) [Premarital sex?],Preferences (select for you and your ex/partner if yes) [Want to have kids?],"Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Calm]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Rational]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Emotional ]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Stubborn]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Adventurous]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Creative]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Analytical]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Introvert]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Extrovert]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Like going out]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Like staying in ]",I am answering about:
4/6/2020 17:00:00,Cancer (June 21 - July 22),Virgo (August 23 - September 22),20-29,20-29,Female,Male,7,7,I have no income,No,Bachelors,Bachelors,Maybe,Yes,,"You, Your Partner","You, Your Partner","You, Your Partner",You,"You, Your Partner","You, Your Partner",,You,"You, Your Partner",You,"You, Your Partner",,"You, Your Partner","You, Your Partner",,My current partner
4/6/2020 17:10:04,Sagittarius (November 22 - December 21),Gemini (May 21 - June 20),20-29,20-29,Female,Male,7,7,I make more than my ex/partner,Yes,Bachelors,Bachelors,Yes,Yes,You,"You, Your Partner",,"You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",You,"You, Your Partner","You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner",You,Your Partner,My current partner
4/6/2020 17:16:37,Aries (March 21 - April 19),Gemini (May 21 - June 20),20-29,20-29,Female,Male,10,9,I make the same as my ex/partner,Yes,Bachelors,Bachelors,Yes,Yes,,"You, Your Partner",,"You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner",You,"You, Your Partner","You, Your Partner",You,Your Partner,Your Partner,You,You,"You, Your Partner",My current partner
4/6/2020 17:19:47,Sagittarius (November 22 - December 21),Pisces (February 19 - March 20),20-29,20-29,Female,Male,9,9,I have no income,Yes,Bachelors,Masters,Yes,No,Your Partner,"You, Your Partner","You, Your Partner","You, Your Partner",You,"You, Your Partner","You, Your Partner","You, Your Partner",You,"You, Your Partner","You, Your Partner",Your Partner,,"You, Your Partner","You, Your Partner",You,My current partner
4/6/2020 17:37:04,Taurus (April 20 - May 20),Virgo (August 23 - September 22),20-29,20-29,Female,Male,9,9,Neither of us have income,No,Bachelors,Bachelors,Maybe,No,,"You, Your Partner",,"You, Your Partner","You, Your Partner",You,Your Partner,"You, Your Partner","You, Your Partner","You, Your Partner",,Your Partner,,"You, Your Partner","You, Your Partner","You, Your Partner",My current partner
4/6/2020 18:00:52,Virgo (August 23 - September 22),Scorpio (October 23 - November 21),50+,30-49,Male,Female,8,8,My ex/partner has no income,Yes,Bachelors,Bachelors,No,Yes,You,You,,,"You, Your Partner",Your Partner,You,You,"You, Your Partner",You,,You,Your Partner,You,"You, Your Partner",,My current partner
4/6/2020 18:34:59,Virgo (August 23 - September 22),Capricorn (December 22 - January 19),20-29,20-29,Female,Male,9,9,My ex/partner makes more than me,Yes,Bachelors,Masters,Maybe,No,,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",,Your Partner,You,You,"You, Your Partner","You, Your Partner","You, Your Partner",You,Your Partner,My current partner
4/6/2020 20:44:03,Virgo (August 23 - September 22),Scorpio (October 23 - November 21),30-49,50+,Female,Male,10,10,I have no income,Yes,Bachelors,Bachelors,Maybe,Yes,Your Partner,Your Partner,Your Partner,,"You, Your Partner",You,"You, Your Partner",Your Partner,Your Partner,Your Partner,Your Partner,Your Partner,You,Your Partner,"You, Your Partner","You, Your Partner",My current partner
4/6/2020 21:51:15,Virgo (August 23 - September 22),Cancer (June 21 - July 22),20-29,20-29,Male,Female,8,8,I make more than my ex/partner,Yes,Bachelors,Bachelors,Yes,Yes,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",Your Partner,,"You, Your Partner",Your Partner,"You, Your Partner",You,Your Partner,"You, Your Partner",,My current partner
4/7/2020 9:37:18,Cancer (June 21 - July 22),Scorpio (October 23 - November 21),20-29,20-29,Female,Male,7,8,Neither of us have income,Yes,Bachelors,Bachelors,Maybe,Yes,"You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",Your Partner,You,Your Partner,You,"You, Your Partner",You,You,,"You, Your Partner","You, Your Partner",Your Partner,My current partner
4/7/2020 9:47:22,Sagittarius (November 22 - December 21),Aries (March 21 - April 19),<20,<20,Female,Male,9,9,Neither of us have income,Yes,Bachelors,Bachelors,Yes,Yes,"You, Your Partner","You, Your Partner",,"You, Your Partner",You,You,You,Your Partner,You,Your Partner,Your Partner,You,You,Your Partner,"You, Your Partner",You,My current partner
4/7/2020 14:38:37,Leo (July 23 - August 22),Scorpio (October 23 - November 21),20-29,20-29,Male,Female,1,1,I make more than my ex/partner,No,Bachelors,High School,Maybe,No,Your Partner,You,Your Partner,"You, Your Partner",Your Partner,You,You,,Your Partner,You,You,Your Partner,,"You, Your Partner","You, Your Partner",,My current partner
4/7/2020 20:46:17,Leo (July 23 - August 22),Taurus (April 20 - May 20),<20,<20,Female,Male,4,6,I make the same as my ex/partner,Yes,Bachelors,Bachelors,No,Yes,Your Partner,"You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",,"You, Your Partner",You,"You, Your Partner",Your Partner,"You, Your Partner",You,,"You, Your Partner","You, Your Partner",You,My current partner
4/7/2020 20:46:44,Aquarius (January 20 - February 18),Sagittarius (November 22 - December 21),20-29,20-29,Female,Male,7,7,Neither of us have income,Yes,Bachelors,Bachelors,Yes,Yes,"You, Your Partner","You, Your Partner",,"You, Your Partner","You, Your Partner",,"You, Your Partner","You, Your Partner","You, Your Partner",,You,Your Partner,,"You, Your Partner",Your Partner,You,My current partner
4/7/2020 20:46:53,Aries (March 21 - April 19),Gemini (May 21 - June 20),20-29,20-29,Female,Male,10,10,My ex/partner makes more than me,Yes,Bachelors,Bachelors,Yes,Yes,,"You, Your Partner",,"You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",You,You,"You, Your Partner","You, Your Partner",Your Partner,You,You,Your Partner,My current partner
4/7/2020 20:48:10,Taurus (April 20 - May 20),Gemini (May 21 - June 20),20-29,20-29,Female,Male,10,10,My ex/partner makes more than me,Yes,Bachelors,Masters,Maybe,Yes,,"You, Your Partner",,"You, Your Partner","You, Your Partner","You, Your Partner",You,You,You,Your Partner,"You, Your Partner",You,,"You, Your Partner","You, Your Partner","You, Your Partner",My current partner
4/7/2020 20:48:13,Virgo (August 23 - September 22),Leo (July 23 - August 22),20-29,20-29,Male,Female,10,9,My ex/partner has no income,Yes,Bachelors,Other professional degree,Yes,Yes,,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",You,"You, Your Partner","You, Your Partner",You,You,"You, Your Partner",You,"You, Your Partner",,"You, Your Partner","You, Your Partner",My current partner
4/7/2020 20:53:25,Leo (July 23 - August 22),Leo (July 23 - August 22),<20,<20,Female,Male,9,9,My ex/partner makes more than me,Yes,Bachelors,Bachelors,No,No,,You,,"You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",You,"You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",,"You, Your Partner",Your Partner,"You, Your Partner",My current partner
4/7/2020 20:53:30,Sagittarius (November 22 - December 21),Leo (July 23 - August 22),<20,<20,Female,Male,5,3,I make more than my ex/partner,Yes,Bachelors,Bachelors,No,No,Your Partner,"You, Your Partner",,"You, Your Partner",,"You, Your Partner","You, Your Partner",Your Partner,You,You,You,Your Partner,Your Partner,You,"You, Your Partner",,My current partner
4/7/2020 21:27:33,Taurus (April 20 - May 20),Leo (July 23 - August 22),<20,20-29,Male,Female,8,7,I have no income,Yes,Bachelors,Bachelors,Yes,Yes,,,,,,"You, Your Partner","You, Your Partner","You, Your Partner",You,You,Your Partner,"You, Your Partner","You, Your Partner",,,,My current partner
4/7/2020 23:47:00,Taurus (April 20 - May 20),Libra (September 23 - October 22),20-29,20-29,Male,Female,10,9,I make more than my ex/partner,Yes,Bachelors,Bachelors,No,Yes,,"You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",You,"You, Your Partner",You,Your Partner,Your Partner,Your Partner,You,You,Your Partner,"You, Your Partner","You, Your Partner",My current partner
4/8/2020 0:36:06,Gemini (May 21 - June 20),Taurus (April 20 - May 20),20-29,20-29,Male,Female,9,9,I make more than my ex/partner,Yes,Masters,Bachelors,Yes,Yes,,"You, Your Partner",,"You, Your Partner","You, Your Partner",You,Your Partner,"You, Your Partner",Your Partner,You,"You, Your Partner","You, Your Partner",Your Partner,You,"You, Your Partner",,My current partner
4/8/2020 1:37:35,Capricorn (December 22 - January 19),Virgo (August 23 - September 22),20-29,20-29,Male,Female,9,9,I make more than my ex/partner,Yes,Masters,Bachelors,Yes,No,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",,Your Partner,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",My current partner
4/8/2020 5:20:02,Cancer (June 21 - July 22),Aries (March 21 - April 19),20-29,20-29,Male,Female,9,6,I have no income,No,Other professional degree,Bachelors,Yes,No,You,"You, Your Partner",You,"You, Your Partner",You,Your Partner,"You, Your Partner","You, Your Partner",,"You, Your Partner",You,You,"You, Your Partner",,You,Your Partner,My current partner
4/8/2020 11:07:11,Taurus (April 20 - May 20),Aries (March 21 - April 19),20-29,20-29,Female,Male,7,7,My ex/partner makes more than me,No,Bachelors,Bachelors,Maybe,No,Your Partner,"You, Your Partner",,"You, Your Partner","You, Your Partner",,You,Your Partner,"You, Your Partner","You, Your Partner",You,Your Partner,Your Partner,You,"You, Your Partner","You, Your Partner",My current partner
4/8/2020 13:05:56,Pisces (February 19 - March 20),Sagittarius (November 22 - December 21),30-50,50+,Female,Male,8,9,My ex/partner makes more than me,Yes,Masters,Masters,Yes,Yes,,,,,"You, Your Partner","You, Your Partner",Your Partner,You,,Your Partner,Your Partner,Your Partner,,,"You, Your Partner","You, Your Partner",My current partner
4/8/2020 13:28:53,Aries (March 21 - April 19),Sagittarius (November 22 - December 21),20-29,20-29,Female,Male,7,7,Neither of us have income,Yes,Bachelors,Bachelors,Yes,Yes,,"You, Your Partner",,"You, Your Partner","You, Your Partner",Your Partner,Your Partner,You,,You,,Your Partner,Your Partner,You,You,Your Partner,My current partner
4/8/2020 13:31:41,Taurus (April 20 - May 20),Libra (September 23 - October 22),<20,20-29,Female,Male,7,8,I make more than my ex/partner,No,Bachelors,Bachelors,Yes,Yes,You,"You, Your Partner","You, Your Partner","You, Your Partner",,,Your Partner,You,"You, Your Partner","You, Your Partner","You, Your Partner",Your Partner,,"You, Your Partner","You, Your Partner","You, Your Partner",My current partner
4/8/2020 15:00:28,Virgo (August 23 - September 22),Taurus (April 20 - May 20),20-29,20-29,Female,Female,10,10,I make the same as my ex/partner,Yes,Bachelors,Bachelors,Yes,Yes,,,,"You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner",You,You,You,You,"You, Your Partner",Your Partner,You,You,Your Partner,My current partner
4/11/2020 23:00:42,Scorpio (October 23 - November 21),Leo (July 23 - August 22),<20,<20,Female,Male,7,8,Neither of us have income,Yes,Masters,High School,Maybe,No,,"You, Your Partner",,,"You, Your Partner",,You,You,"You, Your Partner",Your Partner,"You, Your Partner",You,,"You, Your Partner",You,Your Partner,A former partner
4/12/2020 0:39:09,Scorpio (October 23 - November 21),Libra (September 23 - October 22),20-29,20-29,Female,Male,5,2,Neither of us have income,Yes,Bachelors,Bachelors,Maybe,Yes,"You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",Your Partner,Your Partner,Your Partner,You,"You, Your Partner",Your Partner,Your Partner,,"You, Your Partner","You, Your Partner",,A former partner
4/12/2020 0:43:54,Pisces (February 19 - March 20),Aries (March 21 - April 19),20-29,20-29,Male,Female,8,6,Neither of us have income,Yes,Bachelors,Bachelors,Maybe,No,,"You, Your Partner",,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",You,"You, Your Partner","You, Your Partner","You, Your Partner",You,Your Partner,You,"You, Your Partner","You, Your Partner",My current partner
4/12/2020 0:45:44,Pisces (February 19 - March 20),Cancer (June 21 - July 22),20-29,20-29,Female,Male,7,5,Neither of us have income,Yes,Bachelors,Bachelors,Yes,No,Your Partner,"You, Your Partner","You, Your Partner","You, Your Partner",,Your Partner,,Your Partner,,"You, Your Partner","You, Your Partner","You, Your Partner",,"You, Your Partner","You, Your Partner",Your Partner,A former partner
4/13/2020 17:25:15,Virgo (August 23 - September 22),Scorpio (October 23 - November 21),20-29,20-29,Female,Male,5,4,I make the same as my ex/partner,Yes,Bachelors,Bachelors,No,Yes,Your Partner,"You, Your Partner",Your Partner,Your Partner,Your Partner,,"You, Your Partner",You,"You, Your Partner","You, Your Partner",,"You, Your Partner",,"You, Your Partner","You, Your Partner",,A former partner
4/13/2020 17:25:41,Virgo (August 23 - September 22),Leo (July 23 - August 22),<20,<20,Female,Male,6,6,Neither of us have income,No,High School,High School,Maybe,Yes,,Your Partner,,Your Partner,"You, Your Partner",,You,Your Partner,You,"You, Your Partner","You, Your Partner",You,,"You, Your Partner","You, Your Partner","You, Your Partner",A former partner
4/13/2020 17:26:00,Aquarius (January 20 - February 18),Aries (March 21 - April 19),<20,<20,Male,Male,8,7,I make more than my ex/partner,Yes,Bachelors,Bachelors,Yes,No,"You, Your Partner","You, Your Partner",,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",,You,"You, Your Partner",Your Partner,You,Your Partner,"You, Your Partner","You, Your Partner",Your Partner,A former partner
4/13/2020 17:26:39,Virgo (August 23 - September 22),Gemini (May 21 - June 20),20-29,20-29,Female,Male,8,6,My ex/partner makes more than me,Yes,Bachelors,Bachelors,Maybe,Yes,Your Partner,"You, Your Partner",Your Partner,"You, Your Partner",You,Your Partner,"You, Your Partner",,You,You,,"You, Your Partner",Your Partner,You,You,Your Partner,My current partner
4/13/2020 17:27:55,Scorpio (October 23 - November 21),Pisces (February 19 - March 20),30-49,50+,Female,Male,7,6,My ex/partner makes more than me,Yes,Masters,PhD,Yes,Yes,,,,,"You, Your Partner",Your Partner,Your Partner,You,Your Partner,You,You,Your Partner,Your Partner,You,You,Your Partner,My current partner
4/13/2020 17:32:47,Aries (March 21 - April 19),Aries (March 21 - April 19),20-29,20-29,Female,Male,8,4,I make more than my ex/partner,Yes,Bachelors,Bachelors,Maybe,Yes,,Your Partner,,"You, Your Partner","You, Your Partner",Your Partner,You,You,"You, Your Partner",You,You,You,,"You, Your Partner","You, Your Partner",Your Partner,A former partner
4/13/2020 17:34:52,Gemini (May 21 - June 20),Leo (July 23 - August 22),20-29,20-29,Female,Male,5,8,I make the same as my ex/partner,No,Bachelors,Bachelors,Yes,Yes,,"You, Your Partner",,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",,"You, Your Partner","You, Your Partner","You, Your Partner",A former partner
4/13/2020 17:43:34,Cancer (June 21 - July 22),Aries (March 21 - April 19),20-29,20-29,Female,Male,7,6,Neither of us have income,No,Bachelors,Bachelors,Yes,Yes,Your Partner,"You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner",,Your Partner,"You, Your Partner",Your Partner,"You, Your Partner",You,Your Partner,,"You, Your Partner","You, Your Partner","You, Your Partner",A former partner
4/13/2020 20:44:38,Taurus (April 20 - May 20),Capricorn (December 22 - January 19),20-29,20-29,Female,Male,10,9,My ex/partner makes more than me,No,Bachelors,Bachelors,Yes,No,,"You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",You,"You, Your Partner",You,"You, Your Partner",Your Partner,You,"You, Your Partner","You, Your Partner",,"You, Your Partner",You,My current partner
4/13/2020 20:48:14,Aquarius (January 20 - February 18),Aries (March 21 - April 19),20-29,20-29,Female,Female,8,8,My ex/partner makes more than me,No,Bachelors,Bachelors,Maybe,Yes,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner",You,,"You, Your Partner","You, Your Partner","You, Your Partner",Your Partner,You,"You, Your Partner","You, Your Partner",My current partner
4/13/2020 21:24:34,Scorpio (October 23 - November 21),Aquarius (January 20 - February 18),20-29,<20,Male,Female,10,8,I make more than my ex/partner,No,Bachelors,Bachelors,Yes,No,"You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner",You,"You, Your Partner",Your Partner,"You, Your Partner",,"You, Your Partner",,"You, Your Partner",Your Partner,You,"You, Your Partner","You, Your Partner",My current partner
4/14/2020 0:38:53,Virgo (August 23 - September 22),Leo (July 23 - August 22),<20,20-29,Female,Male,3,3,Neither of us have income,Yes,Bachelors,Bachelors,Maybe,Yes,Your Partner,"You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",You,You,"You, Your Partner",Your Partner,"You, Your Partner",You,You,Your Partner,You,"You, Your Partner","You, Your Partner",A former partner
4/14/2020 2:34:48,Libra (September 23 - October 22),Sagittarius (November 22 - December 21),20-29,20-29,Female,Male,10,10,I make the same as my ex/partner,Yes,Bachelors,Bachelors,Yes,Yes,"You, Your Partner","You, Your Partner",,"You, Your Partner",,Your Partner,"You, Your Partner",You,You,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",,You,You,My current partner
4/14/2020 10:25:53,Capricorn (December 22 - January 19),Aquarius (January 20 - February 18),20-29,20-29,Female,Male,8,9,I have no income,No,Bachelors,Bachelors,Yes,Yes,Your Partner,"You, Your Partner",,"You, Your Partner","You, Your Partner",You,"You, Your Partner",You,,"You, Your Partner",You,Your Partner,,"You, Your Partner","You, Your Partner",You,My current partner
4/17/2020 20:32:14,Gemini (May 21 - June 20),Leo (July 23 - August 22),20-29,20-29,Female,Male,3,5,My ex/partner makes more than me,Yes,Bachelors,Masters,Maybe,Yes,,,,,"You, Your Partner",Your Partner,"You, Your Partner",You,"You, Your Partner",You,You,Your Partner,Your Partner,You,You,"You, Your Partner",A former partner
4/17/2020 20:42:18,Aries (March 21 - April 19),Aquarius (January 20 - February 18),20-29,20-29,Female,Male,8,7,Neither of us have income,Yes,Bachelors,Bachelors,Yes,No,You,"You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",Your Partner,Your Partner,"You, Your Partner",You,"You, Your Partner",Your Partner,You,You,Your Partner,My current partner
4/17/2020 20:50:07,Sagittarius (November 22 - December 21),Capricorn (December 22 - January 19),20-29,20-29,Male,Male,8,6,My ex/partner makes more than me,No,Bachelors,Bachelors,Yes,Yes,,"You, Your Partner",,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",Your Partner,You,Your Partner,You,"You, Your Partner",You,Your Partner,Your Partner,You,A former partner
